day;biogasMix1;biogasMix2;biogasMix3;biogasMix4;biogastotal
0;13835.347775214546;0.0;0.0;0.0;13835.347775214546
1;30974.221604593615;0.0;0.0;0.0;30974.221604593615
2;51498.95547097097;0.0;0.0;0.0;51498.95547097097
3;75319.3025026517;0.0;0.0;0.0;75319.3025026517
4;102189.04163778022;0.0;0.0;0.0;102189.04163778022
5;131737.99011483323;0.0;0.0;0.0;131737.99011483323
6;163510.941643932;0.0;0.0;0.0;163510.941643932
7;197006.53690089565;0.0;0.0;0.0;197006.53690089565
8;231711.4825875629;0.0;0.0;0.0;231711.4825875629
9;267127.84905939276;0.0;0.0;0.0;267127.84905939276
10;302792.91423472046;0.0;0.0;0.0;302792.91423472046
11;338292.0997196965;0.0;0.0;0.0;338292.0997196965
12;373266.0809565016;0.0;0.0;0.0;373266.0809565016
13;407413.3196904084;0.0;0.0;0.0;407413.3196904084
14;440489.2180164694;0.0;0.0;0.0;440489.2180164694
15;472302.93915649917;0.0;0.0;0.0;472302.93915649917
16;502712.7497525695;0.0;0.0;0.0;502712.7497525695
17;531620.5498076467;0.0;0.0;0.0;531620.5498076467
18;558966.0876355723;0.0;0.0;0.0;558966.0876355723
19;584721.2150482985;0.0;0.0;0.0;584721.2150482985
20;608884.4232177484;0.0;0.0;0.0;608884.4232177484
21;631475.8100258376;0.0;0.0;0.0;631475.8100258376
22;652532.5619100219;0.0;0.0;0.0;652532.5619100219
23;672104.9835870945;0.0;0.0;0.0;672104.9835870945
24;690253.0741079955;0.0;0.0;0.0;690253.0741079955
25;707043.6243253254;0.0;0.0;0.0;707043.6243253254
26;722547.7963378278;0.0;0.0;0.0;722547.7963378278
27;736839.1375515519;0.0;0.0;0.0;736839.1375515519
28;749991.9788277562;0.0;0.0;0.0;749991.9788277562
29;762080.1663164382;0.0;0.0;0.0;762080.1663164382
30;762080.1663164382;0.0;0.0;0.0;762080.1663164382
31;762080.1663164382;0.0;0.0;0.0;762080.1663164382
32;762080.1663164382;0.0;0.0;0.0;762080.1663164382
33;762080.1663164382;0.0;0.0;0.0;762080.1663164382
34;762080.1663164382;0.0;0.0;0.0;762080.1663164382
35;762080.1663164382;0.0;0.0;0.0;762080.1663164382
36;762080.1663164382;0.0;0.0;0.0;762080.1663164382
37;762080.1663164382;0.0;0.0;0.0;762080.1663164382
38;762080.1663164382;0.0;0.0;0.0;762080.1663164382
39;762080.1663164382;0.0;0.0;0.0;762080.1663164382
40;762080.1663164382;0.0;0.0;0.0;762080.1663164382
41;762080.1663164382;0.0;0.0;0.0;762080.1663164382
42;762080.1663164382;0.0;0.0;0.0;762080.1663164382
43;762080.1663164382;0.0;0.0;0.0;762080.1663164382
44;762080.1663164382;0.0;0.0;0.0;762080.1663164382
45;762080.1663164382;0.0;0.0;0.0;762080.1663164382
46;762080.1663164382;0.0;0.0;0.0;762080.1663164382
47;762080.1663164382;0.0;0.0;0.0;762080.1663164382
48;762080.1663164382;0.0;0.0;0.0;762080.1663164382
49;762080.1663164382;0.0;0.0;0.0;762080.1663164382
50;762080.1663164382;0.0;0.0;0.0;762080.1663164382
51;762080.1663164382;0.0;0.0;0.0;762080.1663164382
52;762080.1663164382;0.0;0.0;0.0;762080.1663164382
53;762080.1663164382;0.0;0.0;0.0;762080.1663164382
54;762080.1663164382;0.0;0.0;0.0;762080.1663164382
55;762080.1663164382;0.0;0.0;0.0;762080.1663164382
56;762080.1663164382;0.0;0.0;0.0;762080.1663164382
57;762080.1663164382;0.0;0.0;0.0;762080.1663164382
58;762080.1663164382;0.0;0.0;0.0;762080.1663164382
59;762080.1663164382;0.0;0.0;0.0;762080.1663164382
60;762080.1663164382;0.0;0.0;0.0;762080.1663164382
61;762080.1663164382;0.0;0.0;0.0;762080.1663164382
62;762080.1663164382;0.0;0.0;0.0;762080.1663164382
63;762080.1663164382;0.0;0.0;0.0;762080.1663164382
64;762080.1663164382;0.0;0.0;0.0;762080.1663164382
65;762080.1663164382;0.0;0.0;0.0;762080.1663164382
66;762080.1663164382;0.0;0.0;0.0;762080.1663164382
67;762080.1663164382;0.0;0.0;0.0;762080.1663164382
68;762080.1663164382;0.0;0.0;0.0;762080.1663164382
69;762080.1663164382;0.0;0.0;0.0;762080.1663164382
70;762080.1663164382;0.0;0.0;0.0;762080.1663164382
71;762080.1663164382;0.0;0.0;0.0;762080.1663164382
72;762080.1663164382;0.0;0.0;0.0;762080.1663164382
73;762080.1663164382;0.0;0.0;0.0;762080.1663164382
74;762080.1663164382;0.0;0.0;0.0;762080.1663164382
75;762080.1663164382;0.0;0.0;0.0;762080.1663164382
76;762080.1663164382;0.0;0.0;0.0;762080.1663164382
77;762080.1663164382;0.0;0.0;0.0;762080.1663164382
78;762080.1663164382;0.0;0.0;0.0;762080.1663164382
79;762080.1663164382;0.0;0.0;0.0;762080.1663164382
80;762080.1663164382;0.0;0.0;0.0;762080.1663164382
81;762080.1663164382;0.0;0.0;0.0;762080.1663164382
82;762080.1663164382;0.0;0.0;0.0;762080.1663164382
83;762080.1663164382;0.0;0.0;0.0;762080.1663164382
84;762080.1663164382;0.0;0.0;0.0;762080.1663164382
85;762080.1663164382;0.0;0.0;0.0;762080.1663164382
86;762080.1663164382;0.0;0.0;0.0;762080.1663164382
87;762080.1663164382;0.0;0.0;0.0;762080.1663164382
88;762080.1663164382;0.0;0.0;0.0;762080.1663164382
89;762080.1663164382;0.0;0.0;0.0;762080.1663164382
90;762080.1663164382;0.0;0.0;0.0;762080.1663164382
91;762080.1663164382;0.0;0.0;0.0;762080.1663164382
92;762080.1663164382;0.0;0.0;0.0;762080.1663164382
93;762080.1663164382;0.0;0.0;0.0;762080.1663164382
94;762080.1663164382;0.0;0.0;0.0;762080.1663164382
95;762080.1663164382;0.0;0.0;0.0;762080.1663164382
96;762080.1663164382;0.0;0.0;0.0;762080.1663164382
97;762080.1663164382;0.0;0.0;0.0;762080.1663164382
98;762080.1663164382;0.0;0.0;0.0;762080.1663164382
99;762080.1663164382;0.0;0.0;0.0;762080.1663164382
100;762080.1663164382;0.0;0.0;0.0;762080.1663164382
