,Dry basis          +++ remember to set the moisture of the stabilized sample in the CHNS software! +++,,,,,,,,
,,,,,,,,,
,Secco 1,,,,,,,,
,C [%],H [%],N [%],S [%],O [%],,,,
,47.33,6.62,2.44,0.71,,,,,
,45.81,6.41,2.62,0.61,,,,,
,47.38,6.82,2.70,0.44,,,,,
av.,46.84,6.62,2.59,0.59,31.44,,,,
dev.,0.73,0.17,0.11,0.11,,,,,
,,,,,,,,,
,Secco 2,,,,,,,,
,C [%],H [%],N [%],S [%],O [%],,,,
,44.23,6.17,2.68,0.51,,,,,
,42.57,5.85,2.50,0.43,,,,,
,42.65,5.88,2.65,0.43,,,,,
av.,43.15,5.97,2.61,0.46,33.06,,,,
dev.,0.76,0.14,0.08,0.04,,,,,
,,,,,,,,,
,Umido 1,,,,,,,,
,C [%],H [%],N [%],S [%],O [%],,,,
,49.07,6.78,1.50,0.40,,,,,
,46.45,6.35,2.28,0.69,,,,,
,49.27,6.67,1.89,0.53,,,,,
av.,48.26,6.60,1.89,0.54,37.18,,,,
dev.,1.28,0.18,0.32,0.12,,,,,
,,,,,,,,,
,Umido 2,,,,,,,,
,C [%],H [%],N [%],S [%],O [%],,,,
,42.48,6.11,3.02,0.69,,,,,
,41.80,5.99,3.04,0.84,,,,,
,41.04,5.86,3.18,1.03,,,,,
av.,41.77,5.99,3.08,0.85,32.39,,,,
dev.,0.59,0.10,0.07,0.14,,,,,
,,,,,,,,,
,Fanghi 1,,,,,,,,
,C [%],H [%],N [%],S [%],O [%],,,,
,45.29,7.03,6.06,1.23,,,,,
,45.43,7.08,5.92,1.33,,,,,
,44.94,6.96,5.73,1.26,,,,,
av.,45.22,7.02,5.90,1.27,40.58,,,,
dev.,0.21,0.05,0.14,0.04,,,,,
,,,,,,,,,
,Fanghi 2,,,,,,,,
,C [%],H [%],N [%],S [%],O [%],,,,
,45.99,7.34,6.04,1.30,,,,,
,45.18,7.11,5.87,1.33,,,,,
,45.45,7.18,5.82,1.26,,,,,
av.,45.54,7.21,5.91,1.30,40.04,,,,
dev.,0.34,0.10,0.09,0.03,,,,,
