,stabilized samples,,,,,,,,,
,,moisture (stb),2.6%,,,,,,,
,Secco 1,H (dry),6.6%,,,,,,,
,HHVstb [MJ/kg],HHVdry [MJ/kg],LHVdry [MJ/kg],,,,,,,
,18.30,18.78,17.33,,,,,,,
,18.27,18.75,17.31,,,,,,,
,18.27,18.75,17.31,,,,,,,
av.,18.28,18.76,17.32,,,,,,,
dev.,0.01,0.01,0.01,,,,,,,
,,moisture (stb),3.0%,,,,,,,
,Secco 2,H (dry),6.0%,,,,,,,
,HHVstb [MJ/kg],HHVdry [MJ/kg],LHVdry [MJ/kg],,,,,,,
,16.45,16.96,15.66,,,,,,,
,17.12,17.65,16.35,,,,,,,
,17.27,17.81,16.50,14.8,,,,,,
av.,16.94,17.47,16.17,,,,,,,
dev.,0.36,0.37,0.37,,,,,,,
,,moisture (stb),3.6%,,,,,,,
,Umido 1,H (dry),6.6%,,,,,,,
,HHVstb [MJ/kg],HHVdry [MJ/kg],LHVdry [MJ/kg],,,,,,,
,26.12,27.10,25.66,,,,,,,
,23.45,24.34,22.89,,,,,,,
,26.54,27.53,26.09,,,,,,,
av.,25.37,26.32,24.88,,,,,,,
dev.,1.37,1.42,1.42,,,,,,,
,,moisture (stb),1.5%,,,,,,,
,Umido 2,H (dry),6.0%,,,,,,,
,HHVstb [MJ/kg],HHVdry [MJ/kg],LHVdry [MJ/kg],,,,,,,
,16.21,16.46,15.16,,,,,,,
,16.11,16.36,15.06,,,,,,,
,16.19,16.44,15.14,,,,,,,
av.,16.17,16.42,15.12,,,,,,,
dev.,0.04,0.04,0.04,,,,,,,
,,moisture (stb),3.1%,,,,,,,
,Fanghi 1,H (dry),7.0%,,,,,,,
,HHVstb [MJ/kg],HHVdry [MJ/kg],LHVdry [MJ/kg],,,,,,,
,18.35,18.93,17.40,,,,,,,
,18.39,18.97,17.44,,,,,,,
,18.27,18.85,17.32,,,,,,,
av.,18.34,18.92,17.39,,,,,,,
dev.,0.05,0.05,0.05,,,,,,,
,,moisture (stb),2.6%,,,,,,,
,Fanghi 2,H (dry),7.2%,,,,,,,
,HHVstb [MJ/kg],HHVdry [MJ/kg],LHVdry [MJ/kg],,,,,,,
,18.56,19.07,17.49,,,,,,,
,18.41,18.91,17.33,,,,,,,
,18.47,18.96,17.39,,,,,,,
av.,18.48,18.98,17.40,,,,,,,
dev.,0.06,0.07,0.07,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
