Sample,H2O,H2Odev,Ash,Ashdev,C,Cdev,H,Hdev,N,Ndev,S,Sdev,O,HHVdry,HHVdry_dev,LHVdry,LHVdry_dev,HHVar,,LHVar,,nota
Secco 1,007,000,012,000,047,001,007,000,003,000,001,000,031,019,000,017,000,018,,016,,
Secco 2,013,001,015,000,043,001,006,000,003,000,000,000,033,017,000,016,000,015,,014,,
Umido 1,078,001,006,001,048,001,007,000,002,000,001,000,037,026,001,025,001,006,,004,,
Umido 2,070,001,016,001,042,001,006,000,003,000,001,000,032,016,000,015,000,005,,003,,
Fanghi 1,085,000,000,000,045,000,007,000,006,000,001,000,041,019,000,017,000,003,,001,,
Fanghi 2,086,001,000,000,046,000,007,000,006,000,001,000,040,019,000,017,000,003,,001,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
