Secco 1,,,,,,,Secco 2,,,,,,,Umido 1,,,,,
,,ar,stb,dry,daf,,,,ar,stb,dry,daf,,,,ar,stb,dry,daf
moisture,%wt,6.63,2.57,-,-,,moisture,%wt,12.67,3.03,-,-,,moisture,%wt,78.13,3.62,-,-
ash,%wt,11.04,11.52,11.82,-,,ash,%wt,12.75,14.16,14.60,-,,ash,%wt,1.50,6.60,6.84,-
,,,,,,,,,,,,,,,,,,,
C,%wt,43.74,45.64,46.84,53.12,,C,%wt,37.68,41.84,43.15,50.53,,C,%wt,10.56,46.51,48.26,51.81
H,%wt,6.18,6.45,6.62,7.51,,H,%wt,5.21,5.79,5.97,6.99,,H,%wt,1.44,6.36,6.60,7.09
O,%wt,29.45,30.73,31.54,35.77,,O,%wt,29.00,32.20,33.21,38.89,,O,%wt,7.84,34.56,35.86,38.50
N,%wt,2.42,2.52,2.59,2.93,,N,%wt,2.28,2.53,2.61,3.06,,N,%wt,0.41,1.82,1.89,2.03
S,%wt,0.55,0.58,0.59,0.67,,S,%wt,0.40,0.45,0.46,0.54,,S,%wt,0.12,0.52,0.54,0.58
,,,,,,,,,,,,,,,,,,,
HHV,MJ/kg,17.52,18.28,18.76,21.28,,HHV,MJ/kg,15.26,16.94,17.47,20.46,,HHV,MJ/kg,5.76,25.37,26.32,28.26
LHV,MJ/kg,16.01,16.81,17.32,19.64,,LHV,MJ/kg,13.81,15.61,16.17,18.94,,LHV,MJ/kg,3.54,23.89,24.88,26.71
,,,,,,,,,,,,,,,,,,,
HHVMilne,MJ/kg,19.13,19.96,20.49,23.23,,HHVMilne,MJ/kg,15.82,17.56,18.11,21.21,,HHVMilne,MJ/kg,4.50,19.84,20.59,22.10
LHVMilne,MJ/kg,17.62,18.49,19.04,21.59,,LHVMilne,MJ/kg,14.37,16.23,16.81,19.69,,LHVMilne,MJ/kg,2.28,18.36,19.15,20.55
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Umido 2,,,,,,,Fanghi 1,,,,,,,Fanghi 2,,,,,
,,ar,stb,dry,daf,,,,ar,stb,dry,daf,,,,ar,stb,dry,daf
moisture,%wt,70.28,1.53,-,-,,moisture,%wt,85.17,3.07,-,-,,moisture,%wt,86.03,2.63,-,-
ash,%wt,4.69,15.53,15.77,-,,ash,%wt,1.47,9.61,9.91,-,,ash,%wt,1.35,9.39,9.64,-
,,,,,,,,,,,,,,,,,,,
C,%wt,12.41,41.14,41.77,49.59,,C,%wt,6.71,43.83,45.22,50.20,,C,%wt,6.36,44.34,45.54,50.40
H,%wt,1.78,5.89,5.99,7.11,,H,%wt,1.04,6.81,7.02,7.80,,H,%wt,1.01,7.02,7.21,7.98
O,%wt,9.67,32.04,32.54,38.63,,O,%wt,4.55,29.73,30.67,34.04,,O,%wt,4.25,29.60,30.40,33.65
N,%wt,0.92,3.03,3.08,3.66,,N,%wt,0.88,5.72,5.90,6.55,,N,%wt,0.83,5.75,5.91,6.54
S,%wt,0.25,0.84,0.85,1.01,,S,%wt,0.19,1.23,1.27,1.41,,S,%wt,0.18,1.26,1.30,1.44
,,,,,,,,,,,,,,,,,,,
HHV,MJ/kg,4.88,16.17,16.42,19.50,,HHV,MJ/kg,2.81,18.34,18.92,21.00,,HHV,MJ/kg,2.65,18.48,18.98,21.00
LHV,MJ/kg,2.78,14.85,15.12,17.95,,LHV,MJ/kg,0.50,16.78,17.39,19.30,,LHV,MJ/kg,0.33,16.88,17.41,19.26
,,,,,,,,,,,,,,,,,,,
HHVMilne,MJ/kg,5.26,17.43,17.70,21.01,,HHVMilne,MJ/kg,3.00,19.63,20.25,22.48,,HHVMilne,MJ/kg,2.88,20.10,20.64,22.85
LHVMilne,MJ/kg,3.16,16.11,16.39,19.46,,LHVMilne,MJ/kg,0.70,18.07,18.72,20.78,,LHVMilne,MJ/kg,0.56,18.50,19.07,21.11
,,,,,,,,,,,,,,,,,,,
